source,topic,query,title,year,venue,authors,doi,url,abstract,citations
OpenAlex,cotton_3d_phenotyping,cotton boll Gaussian Splatting phenotyping,Mapping of cotton bolls and branches with high-granularity through point cloud segmentation,2025,Plant Methods,"Lizhi Jiang, Javier Rodriguez-Sanchez, John L. Snider, Peng W. Chee, Longsheng Fu",https://doi.org/10.1186/s13007-025-01375-8,https://openalex.org/W4410522728,") for the boll counting was 0.99 with a root mean squared error (RMSE) of 5.4. For the first time, this study accomplished high-granularity spatial mapping of cotton bolls and branches, but directly predicting fiber quality from 3D point clouds remains a challenge. This method provides a promising tool for 3D cotton plant mapping of different genotypes, which potentially could accelerate plant physiological studies and breeding programs.",6
OpenAlex,defoliation_visibility,cotton boll extraction defoliation RGB imagery,Automated Open Cotton Boll Detection for Yield Estimation Using Unmanned Aircraft Vehicle (UAV) Data,2018,Remote Sensing,"Junho Yeom, Jinha Jung, Anjin Chang, Murilo Maeda, Juan Landivar",https://doi.org/10.3390/rs10121895,https://openalex.org/W2903239407,"Unmanned aerial vehicle (UAV) images have great potential for various agricultural applications. In particular, UAV systems facilitate timely and precise data collection in agriculture fields at high spatial and temporal resolutions. In this study, we propose an automatic open cotton boll detection algorithm using ultra-fine spatial resolution UAV images. Seed points for a region growing algorithm were generated hierarchically with a random base for computation efficiency. Cotton boll candidates were determined based on the spatial features of each region growing segment. Spectral threshold values that automatically separate cotton bolls from other non-target objects were derived based on input images for adaptive application. Finally, a binary cotton boll classification was performed using the derived threshold values and other morphological filters to reduce noise from the results. The open cotton boll classification results were validated using reference data and the results showed an accuracy higher than 88% in various evaluation measures. Moreover, the UAV-extracted cotton boll area and actual crop yield had a strong positive correlation (0.8). The proposed method leverages UAV characteristics such as high spatial resolution and accessibility by applying automatic and unsupervised procedures using images from a single date. Additionally, this study verified the extraction of target regions of interest from UAV images for direct yield estimation. Cotton yield estimation models had R2 values between 0.63 and 0.65 and RMSE values between 0.47 kg and 0.66 kg per plot grid.",74
OpenAlex,defoliation_visibility,cotton boll counting before after defoliation UAV,Effects of Dosage and Spraying Volume on Cotton Defoliants Efficacy: A Case Study Based on Application of Unmanned Aerial Vehicles,2018,Agronomy,"Xin Fang, Jing Zhao, Yueting Zhou, Guobin Wang, Xiaoqiang Han",https://doi.org/10.3390/agronomy8060085,https://openalex.org/W2805937321,"Plant protection unmanned aerial vehicles (UAVs) consist of light and small UAVs with pesticide spraying equipment. The advantage of UAVs is using low-volume spray technology to replace the traditional large-volume mass locomotive spray technology. Defoliant spraying is a key link in the mechanized cotton harvest, as sufficient and uniform spraying can improve the defoliation quality and decrease the cotton trash content. However, cotton is planted at high density in Xinjiang, with leaves in two adjacent rows seriously overlapped, making the lower leaves poorly sprayed. Thus, the defoliation effect is poor, and the cotton quality is degraded. To improve the effect of defoliation and reduce the losses caused by boom sprayer rolling, the effect of defoliant dosage on defoliation, boll opening, absorption and decontamination in cotton leaves and the effect of spraying volume on absorption and decontamination in cotton leaves sprayed by UAVs are studied. The pooled results indicate that plant protection UAVs could be used for cotton defoliants spraying with a twice defoliant spraying strategy, and the defoliant dosage has no significant effect on seed cotton yield and fiber quality in Xinjiang. The residue of thidiazuron in cotton leaves reaches the maximum at four days after spraying, the residue of diuron in cotton leaves reaches the maximum at one day after second spraying. The thidiazuron and diuron residues are increased with spraying volume at rang of 17.6–29.0 L/ha. When the spraying volume is less than 17.6 L/ha, the residue of thidiazuron and diuron is reduced. The research results could provide a reference for further optimization of the spraying parameters of cotton defoliant by plant protection UAVs.",58
OpenAlex,defoliation_visibility,cotton defoliation boll opening rate UAV deep learning,Yield estimation of high-density cotton fields using low-altitude UAV imaging and deep learning,2022,Plant Methods,"Fei Li, Jingya Bai, Mengyun Zhang, Ruoyu Zhang",https://doi.org/10.1186/s13007-022-00881-3,https://openalex.org/W4225275451,"BACKGROUND: China has a unique cotton planting pattern. Cotton is densely planted in alternating wide and narrow rows to increase yield in Xinjiang, China, causing the difficulty in the accurate estimation of cotton yield using remote sensing in such field with branches occluded and overlapped. RESULTS: In this study, unmanned aerial vehicle (UAV) imaging and deep convolutional neural networks (DCNN) were used to estimate densely planted cotton yield. Images of cotton fields were acquired by the UAV at an altitude of 5 m. Cotton bolls were manually harvested and weighed afterwards. Then, a modified DCNN model (CD-SegNet) was constructed for pixel-level segmentation of cotton boll images by reorganizing the encoder-decoder and adding dilated convolutions. Besides, linear regression analysis was employed to build up the relationship between cotton boll pixels ratio and cotton yield. Finally, the estimated yield for four cotton fields were verified by weighing harvested cotton. The results showed that CD-SegNet outperformed the other tested models, including SegNet, support vector machine (SVM), and random forest (RF). The average error in yield estimates of the cotton fields was as low as 6.2%. CONCLUSIONS: Overall, the estimation of densely planted cotton yields based on low-altitude UAV imaging is feasible. This study provides a methodological reference for cotton yield estimation in China.",42
OpenAlex,defoliation_visibility,cotton defoliation boll opening rate UAV deep learning,Estimation of cotton canopy parameters based on unmanned aerial vehicle (UAV) oblique photography,2022,Plant Methods,"Jinyong Wu, Sheng Wen, Yubin Lan, Xuanchun Yin, Jiantao Zhang",https://doi.org/10.1186/s13007-022-00966-z,https://openalex.org/W4311201148,"BACKGROUND: The technology of cotton defoliation is essential for mechanical cotton harvesting. Agricultural unmanned aerial vehicle (UAV) spraying has the advantages of low cost, high efficiency and no mechanical damage to cotton and has been favored and widely used by cotton planters in China. However, there are also some problems of low cotton defoliation rates and high impurity rates caused by unclear spraying amounts of cotton defoliants. The chemical rate recommendation and application should be based upon crop canopy volume rather than on land area. Plant height and leaf area index (LAI) is directly connected to plant canopy structure. Accurate dynamic monitoring of plant height and LAI provides important information for evaluating cotton growth and production. The traditional method to obtain plant height and LAI was s a time-consuming and labor-intensive task. It is very difficult and unrealistic to use the traditional measurement method to make the temporal and spatial variation map of plant height and LAI of large cotton fields. With the application of UAV in agriculture, remote sensing by UAV is currently regarded as an effective technology for monitoring and estimating plant height and LAI. RESULTS: In this paper, we used UAV RGB photos to build dense point clouds to estimate cotton plant height and LAI following cotton defoliant spraying. The results indicate that the proposed method was able to dynamically monitor the changes in the LAI of cotton at different times. At 3 days after defoliant spraying, the correlation between the plant height estimated based on the constructed dense point cloud and the measured plant height was strong, with [Formula: see text] and RMSE values of 0.962 and 0.913, respectively. At 10 days after defoliant spraying, the correlation became weaker over time, with [Formula: see text] and RMSE values of 0.018 and 0.027, respectively. Comparing the actual manually measured LAI with the estimated LAI based on the dense point cloud, the [Formula: see text] and RMSE were 0.872 and 0.814 and 0.132 and 0.173 at 3 and 10 days after defoliant spraying, respectively. CONCLUSIONS: Dense point cloud construction based on UAV remote sensing is a potential alternative to plant height and LAI estimation. The accuracy of LAI estimation can be improved by considering both plant height and planting density.",32
OpenAlex,defoliation_visibility,cotton defoliation boll opening rate UAV deep learning,Evaluation of Cotton Defoliation Rate and Establishment of Spray Prescription Map Using Remote Sensing Imagery,2022,Remote Sensing,"Pengchao Chen, Weicheng Xu, Yilong Zhan, Weiguang Yang, Juan Wang",https://doi.org/10.3390/rs14174206,https://openalex.org/W4293661360,"The site-specific management of cotton fields is necessary for evaluating the growth status of cotton and generating a defoliation prescription map. The traditional assessment method of pests and diseases is based on spot surveys and manual participation, which is time-consuming, labor-intensive, and lacks high-quality results. The RGB and multispectral images acquired by drones equipped with sensors provide the possibility to quickly and accurately obtain the overall data for a field. In this study, we obtained RGB and multispectral remote sensing images to calculate the spectral index of the target area. At the same time, ground survey data were obtained by tracking and investigating the defoliation rate of cotton after spraying. With the help of data analysis methods, such as univariate linear regression, multiple linear regression models, neural network models, etc., a cotton defoliation effect monitoring model based on UAV remote sensing images was constructed. The results show that the BP neural network based on the VARI, VDVI, RSI, NGRDI, NDVI index has an R2 value of 0.945 and RMSE value of 0.006. The R2 values of the multiple linear regression model are 0.844 based on the RSI and NGRDI indexes and RSI and VARI indexes. Additionally, based on the model, the cotton defoliation of the whole farmland was evaluated, and the spray prescription map of the UAV sprayer was obtained.",17
OpenAlex,foundation_3d,COLMAP free 3D Gaussian Splatting CVPR 2024,High-fidelity wheat plant reconstruction using 3D Gaussian splatting and neural radiance fields,2025,GigaScience,"Lewis A G Stuart, Darren M. Wells, Jonathan A. Atkinson, Simon Castle-Green, Jack Walker",https://doi.org/10.1093/gigascience/giaf022,https://openalex.org/W4408956580,"BACKGROUND: The reconstruction of 3-dimensional (3D) plant models can offer advantages over traditional 2-dimensional approaches by more accurately capturing the complex structure and characteristics of different crops. Conventional 3D reconstruction techniques often produce sparse or noisy representations of plants using software or are expensive to capture in hardware. Recently, view synthesis models have been developed that can generate detailed 3D scenes, and even 3D models, from only RGB images and camera poses. These models offer unparalleled accuracy but are currently data hungry, requiring large numbers of views with very accurate camera calibration. RESULTS: In this study, we present a view synthesis dataset comprising 20 individual wheat plants captured across 6 different time frames over a 15-week growth period. We develop a camera capture system using 2 robotic arms combined with a turntable, controlled by a re-deployable and flexible image capture framework. We trained each plant instance using two recent view synthesis models: 3D Gaussian splatting (3DGS) and neural radiance fields (NeRF). Our results show that both 3DGS and NeRF produce high-fidelity reconstructed images of a plant subject from views not captured in the initial training sets. We also show that these approaches can be used to generate accurate 3D representations of these plants as point clouds, with 0.74-mm and 1.43-mm average accuracy compared with a handheld scanner for 3DGS and NeRF, respectively. CONCLUSION: We believe that these new methods will be transformative in the field of 3D plant phenotyping, plant reconstruction, and active vision. To further this cause, we release all robot configuration and control software, alongside our extensive multiview dataset. We also release all scripts necessary to train both 3DGS and NeRF, all trained models data, and final 3D point cloud representations. Our dataset can be accessed via https://plantimages.nottingham.ac.uk/ or https://https://doi.org/10.5524/102661. Our software can be accessed via https://github.com/Lewis-Stuart-11/3D-Plant-View-Synthesis.",18
OpenAlex,foundation_3d,DUSt3R 3D reconstruction CVPR 2024,InstantSplat: Sparse-view Gaussian Splatting in Seconds,2024,arXiv (Cornell University),"Zhiwen Fan, Wenyan Cong, Kairun Wen, Kevin Wang, Jian Zhang",https://doi.org/10.48550/arxiv.2403.20309,https://openalex.org/W4393399911,"While neural 3D reconstruction has advanced substantially, its performance significantly degrades with sparse-view data, which limits its broader applicability, since SfM is often unreliable in sparse-view scenarios where feature matches are scarce. In this paper, we introduce InstantSplat, a novel approach for addressing sparse-view 3D scene reconstruction at lightning-fast speed. InstantSplat employs a self-supervised framework that optimizes 3D scene representation and camera poses by unprojecting 2D pixels into 3D space and aligning them using differentiable neural rendering. The optimization process is initialized with a large-scale trained geometric foundation model, which provides dense priors that yield initial points through model inference, after which we further optimize all scene parameters using photometric errors. To mitigate redundancy introduced by the prior model, we propose a co-visibility-based geometry initialization, and a Gaussian-based bundle adjustment is employed to rapidly adapt both the scene representation and camera parameters without relying on a complex adaptive density control process. Overall, InstantSplat is compatible with multiple point-based representations for view synthesis and surface reconstruction. It achieves an acceleration of over 30x in reconstruction and improves visual quality (SSIM) from 0.3755 to 0.7624 compared to traditional SfM with 3D-GS.",9
OpenAlex,foundation_3d,DUSt3R 3D reconstruction CVPR 2024,On-the-fly Reconstruction for Large-Scale Novel View Synthesis from Unposed Images,2025,ACM Transactions on Graphics,"Andréas Meuleman, Ishaan Shah, Alexandre Lanvin, Bernhard Kerbl, George Drettakis",https://doi.org/10.1145/3730913,https://openalex.org/W4412673605,"Radiance field methods such as 3D Gaussian Splatting (3DGS) allow easy reconstruction from photos, enabling free-viewpoint navigation. Nonetheless, pose estimation using Structure from Motion and 3DGS optimization can still each take between minutes and hours of computation after capture is complete. SLAM methods combined with 3DGS are fast but struggle with wide camera baselines and large scenes. We present an on-the-fly method to produce camera poses and a trained 3DGS immediately after capture. Our method can handle dense and wide-baseline captures of ordered photo sequences and large-scale scenes. To do this, we first introduce fast initial pose estimation, exploiting learned features and a GPU-friendly mini bundle adjustment. We then introduce direct sampling of Gaussian primitive positions and shapes, incrementally spawning primitives where required, significantly accelerating training. These two efficient steps allow fast and robust joint optimization of poses and Gaussian primitives. Our incremental approach handles large-scale scenes by introducing scalable radiance field construction, progressively clustering 3DGS primitives, storing them in anchors, and offloading them from the GPU. Clustered primitives are progressively merged, keeping the required scale of 3DGS at any viewpoint. We evaluate our solution on a variety of datasets and show that it can provide on-the-fly processing of all the capture scenarios and scene sizes we target. At the same time our method remains competitive - in speed, image quality, or both - with other methods that only handle specific capture styles or scene sizes.",9
OpenAlex,semantic_reconstruction,foundation model features multi view stereo,Dynamic Graph CNN for Learning on Point Clouds,2019,ACM Transactions on Graphics,"Yue Wang, Yongbin Sun, Ziwei Liu, Sanjay E. Sarma, Michael M. Bronstein",https://doi.org/10.1145/3326362,https://openalex.org/W2979750740,"Point clouds provide a flexible geometric representation suitable for countless applications in computer graphics; they also comprise the raw output of most 3D data acquisition devices. While hand-designed features on point clouds have long been proposed in graphics and vision, however, the recent overwhelming success of convolutional neural networks (CNNs) for image analysis suggests the value of adapting insight from CNN to the point cloud world. Point clouds inherently lack topological information, so designing a model to recover topology can enrich the representation power of point clouds. To this end, we propose a new neural network module dubbed EdgeConv suitable for CNN-based high-level tasks on point clouds, including classification and segmentation. EdgeConv acts on graphs dynamically computed in each layer of the network. It is differentiable and can be plugged into existing architectures. Compared to existing modules operating in extrinsic space or treating each point independently, EdgeConv has several appealing properties: It incorporates local neighborhood information; it can be stacked applied to learn global shape properties; and in multi-layer systems affinity in feature space captures semantic characteristics over potentially long distances in the original embedding. We show the performance of our model on standard benchmarks, including ModelNet40, ShapeNetPart, and S3DIS.",6593
OpenAlex,semantic_reconstruction,semantic feature fields 3D reconstruction DINOv2,Surgical-DINO: adapter learning of foundation models for depth estimation in endoscopic surgery,2024,International Journal of Computer Assisted Radiology and Surgery,"Beilei Cui, Mobarakol Islam, Long Bai, Hongliang Ren",https://doi.org/10.1007/s11548-024-03083-5,https://openalex.org/W4392579942,"PURPOSE: Depth estimation in robotic surgery is vital in 3D reconstruction, surgical navigation and augmented reality visualization. Although the foundation model exhibits outstanding performance in many vision tasks, including depth estimation (e.g., DINOv2), recent works observed its limitations in medical and surgical domain-specific applications. This work presents a low-ranked adaptation (LoRA) of the foundation model for surgical depth estimation. METHODS: We design a foundation model-based depth estimation method, referred to as Surgical-DINO, a low-rank adaptation of the DINOv2 for depth estimation in endoscopic surgery. We build LoRA layers and integrate them into DINO to adapt with surgery-specific domain knowledge instead of conventional fine-tuning. During training, we freeze the DINO image encoder, which shows excellent visual representation capacity, and only optimize the LoRA layers and depth decoder to integrate features from the surgical scene. RESULTS: Our model is extensively validated on a MICCAI challenge dataset of SCARED, which is collected from da Vinci Xi endoscope surgery. We empirically show that Surgical-DINO significantly outperforms all the state-of-the-art models in endoscopic depth estimation tasks. The analysis with ablation studies has shown evidence of the remarkable effect of our LoRA layers and adaptation. CONCLUSION: Surgical-DINO shed some light on the successful adaptation of the foundation models into the surgical domain for depth estimation. There is clear evidence in the results that zero-shot prediction on pre-trained weights in computer vision datasets or naive fine-tuning is not sufficient to use the foundation model in the surgical domain directly.",54
